date,China one-year national bond yield to maturity
January-09,0.01158 
February-09,0.01097 
March-09,0.01045 
April-09,0.01111 
May-09,0.01130 
June-09,0.01000 
July-09,0.01750 
August-09,0.01700 
September-09,0.01530 
October-09,0.01520 
November-09,0.01490 
December-09,0.01550 
January-10,0.01550 
February-10,0.01550 
March-10,0.01590 
April-10,0.01600 
May-10,0.01780 
June-10,0.01870 
July-10,0.01950 
August-10,0.01886 
September-10,0.01850 
October-10,0.01980 
November-10,0.02350 
December-10,0.02950 
January-11,0.03100 
February-11,0.03200 
March-11,0.02900 
April-11,0.02800 
May-11,0.03050 
June-11,0.03450 
July-11,0.03790 
August-11,0.03950 
September-11,0.03580 
October-11,0.03150 
November-11,0.02500 
December-11,0.02600 
January-12,0.02730 
February-12,0.02960 
March-12,0.02860 
April-12,0.02860 
May-12,0.02400 
June-12,0.02300 
July-12,0.02340 
August-12,0.02700 
September-12,0.02800 
October-12,0.02930 
November-12,0.02880 
December-12,0.02900 
January-13,0.02890 
February-13,0.02750 
March-13,0.02641 
April-13,0.02890 
May-13,0.02910 
June-13,0.03430 
July-13,0.03500 
August-13,0.03600 
September-13,0.03450 
October-13,0.03800 
November-13,0.04120 
December-13,0.04120 
January-14,0.03590 
February-14,0.03250 
March-14,0.02870 
April-14,0.03650 
May-14,0.03360 
June-14,0.03370 
July-14,0.03763 
August-14,0.03799 
September-14,0.03767 
October-14,0.03406 
November-14,0.03070 
December-14,0.03263 
January-15,0.03151 
February-15,0.03077 
March-15,0.03190 
April-15,0.02869 
May-15,0.01960 
June-15,0.01767 
July-15,0.02246 
August-15,0.02307 
September-15,0.02360 
October-15,0.02379 
November-15,0.02599 
December-15,0.02329 
January-16,0.02393 
February-16,0.02279 
March-16,0.02163 
April-16,0.02218 
May-16,0.02338 
June-16,0.02390 
July-16,0.02240 
August-16,0.02150 
September-16,0.02185 
October-16,0.02190 
November-16,0.02300 
December-16,0.02751 
January-17,0.02770 
February-17,0.02783 
March-17,0.02885 
April-17,0.03160 
May-17,0.03475 
June-17,0.03453 
July-17,0.03428 
August-17,0.03428 
September-17,0.03460 
October-17,0.03583 
November-17,0.03700 
December-17,0.03803 
January-18,0.03583 
February-18,0.03313 
March-18,0.03350 
April-18,0.03007 
May-18,0.03185 
June-18,0.03210 
July-18,0.02893 
August-18,0.02836 
September-18,0.02990 
October-18,0.02837 
November-18,0.02645 
December-18,0.02575 
January-19,0.02415 
February-19,0.02409 
March-19,0.02399 
April-19,0.02685 
May-19,0.02567 
June-19,0.02654 
July-19,0.02587 
August-19,0.02537 
September-19,0.02670 
October-19,0.02720 
November-19,0.02680 
December-19,0.02440 
January-20,0.02290 
February-20,0.02076 
March-20,0.01820 
April-20,0.01143 
May-20,0.01611 
June-20,0.02160 
July-20,0.02273 
August-20,0.02503 
September-20,0.02610 
October-20,0.02740 
November-20,0.03080 
December-20,0.02700 
January-21,0.02830 
February-21,0.02697 
March-21,0.02540 
April-21,0.02610 
May-21,0.02563 
June-21,0.02322 
July-21,0.01960 
August-21,0.02248 
September-21,0.02295 
October-21,0.02237 
November-21,0.02169 
December-21,0.02195 